,Rainfall,Day,Month,Year
967,4.18,26,8,1983
968,7.21,27,8,1983
969,0.0,28,8,1983
970,4.363,29,8,1983
971,12.474,30,8,1983
972,15.713,31,8,1983
973,0.0,1,9,1983
974,0.0,2,9,1983
975,0.0,3,9,1983
976,0.0,4,9,1983
977,11.268,5,9,1983
978,0.0,6,9,1983
979,7.437,7,9,1983
980,7.437,8,9,1983
981,0.0,9,9,1983
982,7.437,10,9,1983
983,0.0,11,9,1983
984,0.0,12,9,1983
985,0.0,13,9,1983
986,0.0,14,9,1983
987,0.0,15,9,1983
988,4.161,16,9,1983
989,5.991,17,9,1983
990,4.152,18,9,1983
991,4.009,19,9,1983
992,6.589,20,9,1983
993,0.0,21,9,1983
994,0.0,22,9,1983
995,0.0,23,9,1983
996,0.0,24,9,1983
997,0.0,25,9,1983
998,7.488,26,9,1983
999,0.0,27,9,1983
1000,7.488,28,9,1983
1001,0.0,29,9,1983
1002,0.0,30,9,1983
1003,0.0,1,10,1983
1004,0.0,2,10,1983
1005,4.301,3,10,1983
1006,5.945,4,10,1983
1007,5.801,5,10,1983
1008,0.0,6,10,1983
1009,23.365,7,10,1983
1010,23.365,8,10,1983
1011,0.0,9,10,1983
1012,0.0,10,10,1983
1013,0.0,11,10,1983
1014,0.0,12,10,1983
1015,0.0,13,10,1983
1016,0.0,14,10,1983
1017,0.0,15,10,1983
1018,0.0,16,10,1983
1019,4.917,17,10,1983
1020,3.706,18,10,1983
1021,0.0,19,10,1983
1022,0.0,20,10,1983
1023,0.0,21,10,1983
1024,22.303,22,10,1983
1025,19.515,23,10,1983
1026,0.0,24,10,1983
1027,0.0,25,10,1983
1028,0.0,26,10,1983
1029,0.0,27,10,1983
1030,0.0,28,10,1983
1031,0.0,29,10,1983
1032,0.0,30,10,1983
1033,10.419,31,10,1983
1034,0.0,1,11,1983
1035,0.0,2,11,1983
1036,0.0,3,11,1983
1037,0.0,4,11,1983
1038,0.0,5,11,1983
1039,0.0,6,11,1983
1040,0.0,7,11,1983
1041,0.0,8,11,1983
1042,0.0,9,11,1983
1043,0.0,10,11,1983
1044,0.0,11,11,1983
1045,0.0,12,11,1983
1046,0.0,13,11,1983
1047,47.729,14,11,1983
1048,0.0,15,11,1983
1049,0.0,16,11,1983
1050,33.153,17,11,1983
1051,0.0,18,11,1983
1052,0.0,19,11,1983
1053,0.0,20,11,1983
1054,0.0,21,11,1983
1055,0.0,22,11,1983
1056,0.0,23,11,1983
1057,0.0,24,11,1983
1058,0.0,25,11,1983
1059,0.0,26,11,1983
1060,0.0,27,11,1983
1061,0.0,28,11,1983
1062,0.0,29,11,1983
1063,0.0,30,11,1983
1064,0.0,1,12,1983
